#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_20,2016-02-05,0.000000,81936,0,0,0,81936,81936,81936,81935.91,81935.91
Swap_20,2016-02-19,0.038251,121017,39081,0,0,313790,121111,121111,121110.86,121110.86
Swap_20,2016-03-04,0.076503,155641,73705,0,0,427255,155883,155883,138497.04,138497.04
Swap_20,2016-03-18,0.114754,165363,83427,0,0,537282,165749,165749,147580.92,147580.92
Swap_20,2016-04-01,0.153005,187339,105403,0,0,586232,187921,187921,157666.06,157666.06
Swap_20,2016-04-15,0.191257,196770,114835,0,0,636343,197536,197536,165640.01,165640.01
Swap_20,2016-04-29,0.229508,212957,130616,0,0,697390,213951,213951,173691.84,173691.84
Swap_20,2016-05-13,0.267760,223142,140801,0,0,793098,224357,224357,180929.75,180929.75
Swap_20,2016-05-27,0.306011,231659,149318,0,0,808596,233101,233101,187451.12,187451.12
Swap_20,2016-06-10,0.344262,239878,157537,0,0,852206,241558,241558,193462.97,193462.97
Swap_20,2016-06-24,0.382514,249108,166767,0,0,912296,251046,251046,199221.25,199221.25
Swap_20,2016-07-08,0.420765,253279,170938,0,0,913037,255446,255446,204332.58,204332.58
Swap_20,2016-07-22,0.459016,261904,179563,0,0,959309,264349,264349,209333.93,209333.93
Swap_20,2016-08-05,0.497268,277781,195440,0,0,993311,280590,280590,214815.15,214815.15
Swap_20,2016-08-19,0.535519,286269,203928,0,0,1000642,289387,289387,220141.69,220141.69
Swap_20,2016-09-02,0.573770,293764,211423,0,0,1012171,297192,297192,225278.40,225278.40
Swap_20,2016-09-16,0.612022,302679,220338,0,0,1081410,306446,306446,230351.39,230351.39
Swap_20,2016-09-30,0.650273,314847,232506,0,0,1077465,319011,319011,235566.65,235566.65
Swap_20,2016-10-14,0.688525,324489,242148,0,0,1103397,329032,329032,240759.19,240759.19
Swap_20,2016-10-28,0.726776,275317,291017,0,0,1028481,279386,329032,242792.18,245405.15
