#Date,EPE,ENE
2016-02-05,1756798.9703,0.0000
2016-02-19,1804313.0582,47514.0879
2016-03-04,1760897.6490,4098.6786
2016-03-18,2021011.6923,264212.7220
2016-04-01,2054010.0863,297211.1160
2016-04-15,1952855.9048,196056.9345
2016-04-29,2025434.6928,268228.1943
2016-05-13,2011427.4705,254220.9720
2016-05-27,2063816.2037,306609.7052
2016-06-10,2231227.1400,474020.6415
2016-06-24,2195975.7432,438769.2447
2016-07-08,2151456.2877,394249.7892
2016-07-22,2148734.0502,391527.5517
2016-08-05,2149530.1333,392323.6347
2016-08-19,2107777.6030,350571.1045
2016-09-02,2159680.5196,402474.0210
2016-09-16,2244735.8241,487529.3256
2016-09-30,2262414.8587,505208.3602
2016-10-14,2236939.5484,479733.0498
2016-10-28,2091392.3160,536131.6550
2016-11-14,2047885.0697,492624.4087
2016-11-25,2070992.7784,515732.1174
2016-12-09,2062638.5311,507377.8701
2016-12-23,2031421.0390,476160.3781
2017-01-06,1985164.2544,429903.5934
2017-01-20,2007904.0176,452643.3566
2017-02-03,2034509.4376,479248.7766
2017-02-17,2080494.0796,525233.4186
2017-03-03,2062416.9400,507156.2790
2017-03-17,2060938.5419,505677.8809
2017-03-31,2050111.0334,494850.3724
2017-04-18,2031060.0449,475799.3840
2017-04-28,2020213.5180,466376.1916
2017-05-12,2008232.2004,454394.8740
2017-05-26,2038207.9050,484370.5786
2017-06-09,2027584.0985,473746.7721
2017-06-23,2065395.5140,511558.1876
2017-07-07,2074564.0511,520726.7247
2017-07-21,2030607.5747,476770.2483
2017-08-04,2042641.0051,488803.6787
2017-08-18,2032945.6183,479108.2919
2017-09-01,2055928.4673,502091.1409
2017-09-15,2071568.1513,517730.8249
2017-09-29,2057109.2826,503271.9562
2017-10-13,1996787.1477,442949.8213
2017-10-27,2021783.8179,467946.4915
2017-11-13,1852702.6078,503654.0184
2017-11-24,1842373.9348,493325.3454
2017-12-08,1865542.7528,516494.1633
2017-12-22,1880914.5788,531865.9894
2018-01-05,1868468.3108,519419.7213
2018-01-19,1876159.8016,527111.2122
2018-02-02,1883086.0886,534037.4992
2018-02-16,1888392.5456,539343.9562
2018-03-02,1862883.2349,513834.6455
2018-03-16,1884502.3952,535453.8058
2018-04-03,1889364.3803,540315.7909
2018-04-13,1925734.6785,576686.0891
2018-04-27,1937730.9054,588682.3160
2018-05-11,1930922.8865,581780.2073
2018-05-25,1929144.6473,580001.9682
2018-06-08,1929565.3544,580422.6753
2018-06-22,1911467.1372,562324.4581
2018-07-06,1917914.6067,568771.9276
2018-07-20,1910266.2309,561123.5518
2018-08-03,1926346.7625,577204.0834
2018-08-17,1914671.1824,565528.5033
2018-08-31,1894767.5441,545624.8650
2018-09-14,1870946.4128,521803.7337
2018-09-28,1835376.7165,486234.0373
2018-10-12,1895047.9016,545905.2225
2018-10-26,1899806.7342,550664.0550
2018-11-09,1746612.5026,590373.1840
2018-11-23,1712130.6665,555891.3479
2018-12-07,1706086.4857,549847.1671
2018-12-21,1700845.2857,544605.9671
2019-01-04,1707957.6992,551718.3806
2019-01-18,1751485.8310,595246.5124
2019-02-01,1750104.8047,593865.4861
2019-02-15,1743269.5998,587030.2812
2019-03-01,1765826.3023,609586.9837
2019-03-15,1733062.1100,576822.7914
2019-03-29,1711274.0763,555034.7577
2019-04-12,1741889.2648,585649.9462
2019-04-26,1753201.2889,596961.9703
2019-05-10,1741154.7496,569811.7573
2019-05-24,1745498.3664,574155.3741
2019-06-07,1750482.7920,579139.7998
2019-06-21,1767852.6756,596509.6833
2019-07-05,1769667.8361,598324.8438
2019-07-19,1757593.4550,586250.4627
2019-08-02,1768852.6557,597509.6634
2019-08-16,1752388.6676,581045.6753
2019-08-30,1775326.0462,603983.0539
2019-09-13,1760203.4155,588860.4232
2019-09-27,1758043.6527,586700.6605
2019-10-11,1780587.0307,609244.0385
2019-10-25,1785108.2302,613765.2380
2019-11-08,1655357.4843,665137.1964
2019-11-22,1657509.7876,667289.4997
2019-12-06,1641691.2128,651470.9250
2019-12-20,1639351.0988,649130.8109
2020-01-03,1659042.6260,668822.3381
2020-01-17,1646545.6939,656325.4060
2020-01-31,1670995.7497,680775.4618
2020-02-14,1694900.2954,704680.0075
2020-02-28,1690318.1341,700097.8462
2020-03-13,1687427.8468,697207.5589
2020-03-27,1662957.5137,672737.2258
2020-04-14,1669848.4253,679628.1374
2020-04-24,1667382.9774,677162.6895
2020-05-11,1642436.0932,623928.2106
2020-05-22,1619948.6206,601440.7380
2020-06-05,1631616.1388,613108.2562
2020-06-19,1663563.9343,645056.0517
2020-07-06,1679776.8572,661268.9746
2020-07-17,1716242.7391,697734.8565
2020-07-31,1750517.8694,732009.9868
2020-08-14,1749878.8004,731370.9178
2020-08-28,1752711.9995,734204.1169
2020-09-11,1766401.4214,747893.5388
2020-09-25,1770932.4151,752424.5325
2020-10-09,1780583.7522,762075.8696
2020-10-23,1772945.5848,754437.7022
2020-11-06,1652070.5591,803363.6333
2020-11-20,1627505.8713,778798.9455
2020-12-04,1613749.2746,765042.3488
2020-12-18,1630527.9605,781821.0347
2021-01-04,1657620.5606,808913.6348
2021-01-15,1653331.3256,804624.3998
2021-01-29,1634842.6371,786135.7113
2021-02-12,1638703.1555,789996.2297
2021-02-26,1609751.3655,761044.4397
2021-03-12,1618380.6112,769673.6854
2021-03-26,1628811.7897,780104.8640
2021-04-09,1619208.2826,770501.3568
2021-04-23,1618335.0565,769628.1307
2021-05-07,1587430.9486,701599.3482
2021-05-21,1577788.4110,691956.8106
2021-06-04,1583886.5904,698054.9899
2021-06-18,1575113.2267,689281.6262
2021-07-02,1542388.0932,656556.4927
2021-07-16,1578583.4503,692751.8499
2021-07-30,1576350.8963,690519.2958
2021-08-13,1586018.0264,700186.4259
2021-08-27,1583155.0479,697323.4474
2021-09-10,1572468.1067,686636.5063
2021-09-24,1555442.1407,669610.5402
2021-10-08,1571031.5616,685199.9612
2021-10-22,1567560.8486,681729.2482
2021-11-05,1447754.3887,717073.1354
2021-11-19,1464399.1242,733717.8709
2021-12-03,1462920.8603,732239.6070
2021-12-17,1466910.8233,736229.5700
2022-01-04,1465921.9029,735240.6496
2022-01-14,1474158.4308,743477.1775
2022-01-28,1473305.8472,742624.5939
2022-02-11,1465451.7579,734770.5046
2022-02-25,1461107.3782,730426.1249
2022-03-11,1446338.5183,715657.2650
2022-03-25,1447065.4169,716384.1636
2022-04-08,1456593.1531,725911.8998
2022-04-22,1445872.3632,715191.1099
2022-05-06,1432811.9289,656596.7176
2022-05-20,1448988.7756,672773.5644
2022-06-07,1449941.4422,673726.2310
2022-06-17,1439446.5210,663231.3097
2022-07-01,1459766.6380,683551.4268
2022-07-15,1471601.4471,695386.2358
2022-07-29,1451684.1371,675468.9259
2022-08-12,1450555.5034,674340.2922
2022-08-26,1444643.9773,668428.7660
2022-09-09,1467390.9922,691175.7809
2022-09-23,1475258.2365,699043.0252
2022-10-07,1465259.3283,689044.1170
2022-10-21,1450084.2575,673869.0462
2022-11-04,1348122.3787,727237.4749
2022-11-18,1350038.0505,729153.1467
2022-12-02,1354385.9216,733501.0178
2022-12-16,1377723.0444,756838.1406
2022-12-30,1379229.7806,758344.8768
2023-01-13,1396356.5908,775471.6870
2023-01-27,1378410.3055,757525.4017
2023-02-10,1393735.3573,772850.4535
2023-02-24,1379245.8761,758360.9723
2023-03-10,1404855.5514,783970.6476
2023-03-24,1405019.6174,784134.7136
2023-04-11,1397967.7462,777082.8424
2023-04-21,1403208.3558,782323.4519
2023-05-05,1376867.2287,702787.4433
2023-05-19,1361514.8527,687435.0672
2023-06-02,1358395.2428,684315.4574
2023-06-16,1323983.9923,649904.2068
2023-06-30,1332772.0968,658692.3113
2023-07-14,1346913.4016,672833.6161
2023-07-28,1342638.4195,668558.6340
2023-08-11,1341645.1611,667565.3756
2023-08-25,1343854.8131,669775.0277
2023-09-08,1339912.0191,665832.2337
2023-09-22,1332505.5652,658425.7798
2023-10-06,1332368.2500,658288.4646
2023-10-20,1336920.6984,662840.9129
2023-11-03,1233952.4148,683284.4553
2023-11-17,1247046.4029,696378.4434
2023-12-01,1251688.6055,701020.6459
2023-12-15,1260759.4305,710091.4709
2023-12-29,1259166.0709,708498.1113
2024-01-12,1263464.9937,712797.0342
2024-01-26,1261330.5513,710662.5917
2024-02-09,1256514.0442,705846.0846
2024-02-23,1261232.1304,710564.1708
2024-03-08,1258954.4186,708286.4590
2024-03-22,1272516.1796,721848.2201
2024-04-05,1276709.2858,726041.3263
2024-04-19,1282648.5316,731980.5720
2024-05-03,1272098.7907,650368.2873
2024-05-17,1284335.2698,662604.7664
2024-05-31,1279231.2104,657500.7070
2024-06-14,1302376.3034,680645.8000
2024-06-28,1300862.7247,679132.2213
2024-07-12,1305492.2318,683761.7284
2024-07-26,1285376.2352,663645.7318
2024-08-09,1292765.9601,671035.4567
2024-08-23,1297475.7922,675745.2888
2024-09-06,1305506.6453,683776.1419
