#Date,EPE,ENE
2016-02-05,1661327.1912,0.0000
2016-02-19,1661327.1912,0.0000
2016-03-04,1661327.1912,0.0000
2016-03-18,1663164.5899,1837.3987
2016-04-01,1663511.0929,2183.9017
2016-04-15,1662529.9434,1202.7523
2016-04-29,1662816.2339,1082.0546
2016-05-13,1665613.7316,3879.5523
2016-05-27,1671576.0065,9841.8273
2016-06-10,1670479.9765,8745.7972
2016-06-24,1679036.7857,17302.6064
2016-07-08,1685689.0068,23954.8275
2016-07-22,1685627.4767,23893.2975
2016-08-05,1687988.5513,26254.3721
2016-08-19,1698980.0116,37245.8324
2016-09-02,1701483.0983,39748.9191
2016-09-16,1708481.1814,46747.0021
2016-09-30,1717600.5727,55866.3934
2016-10-14,1722110.0483,60375.8690
2016-10-28,1546864.6770,86513.2881
2016-11-14,1553988.7856,93637.3967
2016-11-25,1554794.8062,94443.4173
2016-12-09,1558606.3853,98254.9964
2016-12-23,1561590.2491,101238.8601
2017-01-06,1566321.6884,105970.2994
2017-01-20,1567945.9598,107594.5708
2017-02-03,1578098.6616,117747.2727
2017-02-17,1586996.5365,126645.1476
2017-03-03,1597962.8202,137611.4313
2017-03-17,1606021.0670,145669.6781
2017-03-31,1610860.8253,150509.4364
2017-04-18,1618736.0258,158384.6369
2017-04-28,1611783.9510,154682.1155
2017-05-12,1615519.9928,158418.1574
2017-05-26,1618913.8090,161811.9736
2017-06-09,1626108.7431,169006.9077
2017-06-23,1629023.0531,171921.2177
2017-07-07,1632674.8931,175573.0576
2017-07-21,1641057.9179,183956.0824
2017-08-04,1641712.9085,184611.0731
2017-08-18,1643839.3396,186737.5042
2017-09-01,1645352.0176,188250.1821
2017-09-15,1649677.0030,192575.1675
2017-09-29,1651293.2816,194191.4462
2017-10-13,1658473.5155,201371.6800
2017-10-27,1663260.3298,206158.4944
2017-11-13,1504863.9025,254145.9731
2017-11-24,1511716.0418,260998.1124
2017-12-08,1516969.4029,266251.4736
2017-12-22,1519827.5483,269109.6190
2018-01-05,1522855.0101,272137.0808
2018-01-19,1527846.9987,277129.0694
2018-02-02,1531727.5430,281009.6137
2018-02-16,1536803.9384,286086.0090
2018-03-02,1543792.7045,293074.7752
2018-03-16,1545728.9989,295011.0696
2018-04-03,1552357.5578,301639.6285
2018-04-13,1554123.5790,303405.6496
2018-04-27,1559388.9068,308670.9775
2018-05-11,1547801.5052,297389.2186
2018-05-25,1551614.9525,301202.6659
2018-06-08,1555572.1175,305159.8309
2018-06-22,1559280.1967,308867.9101
2018-07-06,1565589.3145,315177.0279
2018-07-20,1570769.3662,320357.0796
2018-08-03,1575150.9634,324738.6768
2018-08-17,1580369.8933,329957.6067
2018-08-31,1582896.5920,332484.3054
2018-09-14,1584198.3630,333786.0764
2018-09-28,1587139.4077,336727.1211
2018-10-12,1590648.0360,340235.7494
2018-10-26,1599350.0958,348937.8092
2018-11-09,1451273.5021,399720.1369
2018-11-23,1457825.2241,406271.8589
2018-12-07,1465119.8158,413566.4507
2018-12-21,1469543.5063,417990.1412
2019-01-04,1472565.0769,421011.7117
2019-01-18,1475027.0708,423473.7056
2019-02-01,1478239.5143,426686.1491
2019-02-15,1483848.0992,432294.7340
2019-03-01,1486267.4811,434714.1159
2019-03-15,1491432.7563,439879.3911
2019-03-29,1494613.5218,443060.1566
2019-04-12,1498287.2408,446733.8757
2019-04-26,1501958.6581,450405.2929
2019-05-10,1486153.2510,425851.9774
2019-05-24,1488886.6358,428585.3622
2019-06-07,1491262.5180,430961.2443
2019-06-21,1495905.9908,435604.7171
2019-07-05,1500290.1331,439988.8595
2019-07-19,1505446.0465,445144.7728
2019-08-02,1511339.0770,451037.8033
2019-08-16,1514915.7395,454614.4658
2019-08-30,1519292.8297,458991.5561
2019-09-13,1521479.1792,461177.9055
2019-09-27,1524814.8715,464513.5978
2019-10-11,1527856.4567,467555.1830
2019-10-25,1531943.5698,471642.2961
2019-11-08,1396726.8776,522194.5277
2019-11-22,1398592.7238,524060.3740
2019-12-06,1403231.4896,528699.1398
2019-12-20,1407010.1098,532477.7600
2020-01-03,1412446.3809,537914.0310
2020-01-17,1414687.1649,540154.8151
2020-01-31,1418512.6836,543980.3338
2020-02-14,1421043.2201,546510.8702
2020-02-28,1423386.9445,548854.5947
2020-03-13,1424910.8814,550378.5316
2020-03-27,1428426.8321,553894.4823
2020-04-14,1433604.7707,559072.4209
2020-04-24,1435571.0479,561038.6981
2020-05-11,1421821.9366,527257.1834
2020-05-22,1425533.3259,530968.5727
2020-06-05,1425845.3643,531280.6111
2020-06-19,1429277.1323,534712.3791
2020-07-06,1432701.8225,538137.0693
2020-07-17,1432924.2608,538359.5076
2020-07-31,1437621.6434,543056.8902
2020-08-14,1439434.0846,544869.3314
2020-08-28,1444024.2402,549459.4870
2020-09-11,1446288.2430,551723.4898
2020-09-25,1453402.9786,558838.2254
2020-10-09,1458443.6666,563878.9134
2020-10-23,1461187.5002,566622.7470
2020-11-06,1330468.6101,611880.0434
2020-11-20,1332994.1398,614405.5731
2020-12-04,1336314.4025,617725.8358
2020-12-18,1340396.9252,621808.3585
2021-01-04,1341624.7074,623036.1407
2021-01-15,1342467.7984,623879.2318
2021-01-29,1347552.0422,628963.4756
2021-02-12,1348524.7997,629936.2330
2021-02-26,1352383.6810,633795.1144
2021-03-12,1358026.5163,639437.9497
2021-03-26,1362146.1358,643557.5691
2021-04-09,1364399.3882,645810.8215
2021-04-23,1365987.8160,647399.2494
2021-05-07,1358926.5146,605483.0145
2021-05-21,1360542.2156,607098.7156
2021-06-04,1362455.5550,609012.0549
2021-06-18,1365266.6058,611823.1058
2021-07-02,1366974.7094,613531.2094
2021-07-16,1370316.9529,616873.4529
2021-07-30,1372961.2388,619517.7388
2021-08-13,1375224.0761,621780.5761
2021-08-27,1380002.0759,626558.5759
2021-09-10,1381603.2932,628159.7932
2021-09-24,1383912.1150,630468.6150
2021-10-08,1384866.0747,631422.5747
2021-10-22,1387073.6180,633630.1180
2021-11-05,1269082.1637,669984.4182
2021-11-19,1274087.0927,674989.3473
2021-12-03,1279465.6309,680367.8854
2021-12-17,1281065.6451,681967.8996
2022-01-04,1282088.1933,682990.4478
2022-01-14,1284206.0908,685108.3453
2022-01-28,1287778.4477,688680.7022
2022-02-11,1290521.5794,691423.8339
2022-02-25,1294222.8462,695125.1008
2022-03-11,1296633.9274,697536.1819
2022-03-25,1298505.5131,699407.7676
2022-04-08,1301722.0039,702624.2584
2022-04-22,1304390.7366,705292.9911
2022-05-06,1297476.1619,651685.5429
2022-05-20,1297346.1122,651555.4932
2022-06-07,1300644.6163,654853.9973
2022-06-17,1300662.9576,654872.3386
2022-07-01,1301372.6628,655582.0438
2022-07-15,1304931.5143,659140.8953
2022-07-29,1308588.1617,662797.5427
2022-08-12,1311069.0147,665278.3957
2022-08-26,1314065.9092,668275.2902
2022-09-09,1315438.7428,669648.1238
2022-09-23,1319790.1825,673999.5635
