#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
1:EquityOption,DiscountCurve/EUR/2/3M,Up,153166.00,0.000100,#N/A,153162.15,-3.85
1:EquityOption,IndexCurve/EUR-ESTER/2/3M,Up,153166.00,0.000100,#N/A,153227.47,61.47
1:EquityOption,EquitySpot/RIC:.STOXX50E/0/spot,Up,153166.00,4.337500,#N/A,155563.43,2397.43
1:EquityOption,EquitySpot/RIC:.STOXX50E/0/spot,Down,153166.00,4.337500,#N/A,150790.28,-2375.73
1:EquityOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Up,153166.00,0.000162,#N/A,153260.36,94.36
1:EquityOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Up,153166.00,0.000160,#N/A,153211.31,45.31
1:EquityOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Down,153166.00,0.000162,#N/A,153073.94,-92.06
1:EquityOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Down,153166.00,0.000160,#N/A,153123.00,-43.01
2:EquityBarrierOption,DiscountCurve/EUR/2/3M,Up,155609.76,0.000100,#N/A,155605.85,-3.91
2:EquityBarrierOption,IndexCurve/EUR-ESTER/0/2W,Up,155609.76,0.000100,#N/A,155609.77,0.00
2:EquityBarrierOption,IndexCurve/EUR-ESTER/1/1M,Up,155609.76,0.000100,#N/A,155627.96,18.20
2:EquityBarrierOption,IndexCurve/EUR-ESTER/2/3M,Up,155609.76,0.000100,#N/A,155664.37,54.61
2:EquityBarrierOption,EquitySpot/RIC:.STOXX50E/0/spot,Up,155609.76,4.337500,#N/A,158006.64,2396.88
2:EquityBarrierOption,EquitySpot/RIC:.STOXX50E/0/spot,Down,155609.76,4.337500,#N/A,153236.69,-2373.08
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/72/2W/-0.05,Up,155609.76,0.000163,#N/A,155609.73,-0.04
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,Up,155609.76,0.000163,#N/A,155611.19,1.42
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/96/2W/0.05,Up,155609.76,0.000163,#N/A,155604.87,-4.90
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/108/2W/0.1,Up,155609.76,0.000162,#N/A,155610.50,0.73
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/120/2W/0.25,Up,155609.76,0.000160,#N/A,155608.89,-0.87
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/132/2W/0.5,Up,155609.76,0.000155,#N/A,155610.00,0.24
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/61/1M/-0.1,Up,155609.76,0.000159,#N/A,155608.31,-1.45
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/73/1M/-0.05,Up,155609.76,0.000158,#N/A,155608.15,-1.62
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,Up,155609.76,0.000157,#N/A,155611.82,2.06
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/97/1M/0.05,Up,155609.76,0.000157,#N/A,155610.79,1.02
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Up,155609.76,0.000162,#N/A,155697.76,87.99
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Up,155609.76,0.000160,#N/A,155658.14,48.37
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,Up,155609.76,0.000157,#N/A,155612.32,2.55
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/72/2W/-0.05,Down,155609.76,0.000163,#N/A,155609.80,0.04
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,Down,155609.76,0.000163,#N/A,155608.35,-1.41
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/96/2W/0.05,Down,155609.76,0.000163,#N/A,155610.08,0.32
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/108/2W/0.1,Down,155609.76,0.000162,#N/A,155608.92,-0.84
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/120/2W/0.25,Down,155609.76,0.000160,#N/A,155610.59,0.82
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/132/2W/0.5,Down,155609.76,0.000155,#N/A,155609.54,-0.22
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/61/1M/-0.1,Down,155609.76,0.000159,#N/A,155608.82,-0.95
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/73/1M/-0.05,Down,155609.76,0.000158,#N/A,155616.10,6.34
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,Down,155609.76,0.000157,#N/A,155621.40,11.64
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/97/1M/0.05,Down,155609.76,0.000157,#N/A,155608.71,-1.06
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Down,155609.76,0.000162,#N/A,155508.06,-101.71
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Down,155609.76,0.000160,#N/A,155565.90,-43.87
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,Down,155609.76,0.000157,#N/A,155611.86,2.09
3:EquityAccumulator,DiscountCurve/EUR/4/1Y,Up,595312.28,0.000100,#N/A,595302.49,-9.80
3:EquityAccumulator,DiscountCurve/EUR/5/2Y,Up,595312.28,0.000100,#N/A,595284.52,-27.76
3:EquityAccumulator,DiscountCurve/EUR/6/3Y,Up,595312.28,0.000100,#N/A,595258.06,-54.22
3:EquityAccumulator,DiscountCurve/EUR/7/5Y,Up,595312.28,0.000100,#N/A,595223.05,-89.23
3:EquityAccumulator,DiscountCurve/EUR/8/10Y,Up,595312.28,0.000100,#N/A,595312.14,-0.14
3:EquityAccumulator,IndexCurve/EUR-ESTER/0/2W,Up,595312.28,0.000100,#N/A,595312.29,0.01
3:EquityAccumulator,IndexCurve/EUR-ESTER/4/1Y,Up,595312.28,0.000100,#N/A,595369.72,57.44
3:EquityAccumulator,IndexCurve/EUR-ESTER/5/2Y,Up,595312.28,0.000100,#N/A,595431.44,119.16
3:EquityAccumulator,IndexCurve/EUR-ESTER/6/3Y,Up,595312.28,0.000100,#N/A,595633.03,320.75
3:EquityAccumulator,IndexCurve/EUR-ESTER/7/5Y,Up,595312.28,0.000100,#N/A,595709.77,397.49
3:EquityAccumulator,IndexCurve/EUR-ESTER/8/10Y,Up,595312.28,0.000100,#N/A,595312.90,0.62
3:EquityAccumulator,EquitySpot/RIC:.STOXX50E/0/spot,Up,595312.28,4.337500,#N/A,598104.65,2792.37
3:EquityAccumulator,EquitySpot/RIC:.STOXX50E/0/spot,Down,595312.28,4.337500,#N/A,592752.64,-2559.64
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/0/2W/-3,Up,595312.28,0.000269,#N/A,595312.00,-0.28
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/12/2W/-2,Up,595312.28,0.000226,#N/A,595312.16,-0.12
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/40/1Y/-0.5,Up,595312.28,0.000205,#N/A,595457.59,145.31
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/52/1Y/-0.25,Up,595312.28,0.000195,#N/A,595443.42,131.14
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/41/2Y/-0.5,Up,595312.28,0.000214,#N/A,595382.56,70.28
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/53/2Y/-0.25,Up,595312.28,0.000207,#N/A,595339.68,27.40
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/42/3Y/-0.5,Up,595312.28,0.000222,#N/A,595336.54,24.26
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/54/3Y/-0.25,Up,595312.28,0.000215,#N/A,595319.54,7.26
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/43/5Y/-0.5,Up,595312.28,0.000232,#N/A,595091.13,-221.15
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/55/5Y/-0.25,Up,595312.28,0.000228,#N/A,595320.46,8.18
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/44/10Y/-0.5,Up,595312.28,0.000261,#N/A,595312.43,0.15
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/0/2W/-3,Down,595312.28,0.000269,#N/A,595310.75,-1.53
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/12/2W/-2,Down,595312.28,0.000226,#N/A,595310.59,-1.69
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/40/1Y/-0.5,Down,595312.28,0.000205,#N/A,595282.30,-29.98
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/52/1Y/-0.25,Down,595312.28,0.000195,#N/A,595294.68,-17.60
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/41/2Y/-0.5,Down,595312.28,0.000214,#N/A,595464.62,152.33
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/53/2Y/-0.25,Down,595312.28,0.000207,#N/A,595395.03,82.75
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/42/3Y/-0.5,Down,595312.28,0.000222,#N/A,595607.89,295.61
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/54/3Y/-0.25,Down,595312.28,0.000215,#N/A,595307.40,-4.89
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/43/5Y/-0.5,Down,595312.28,0.000232,#N/A,595335.86,23.58
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/55/5Y/-0.25,Down,595312.28,0.000228,#N/A,595309.41,-2.88
3:EquityAccumulator,EquityVolatility/RIC:.STOXX50E/44/10Y/-0.5,Down,595312.28,0.000261,#N/A,595312.69,0.41
4:AsianBasketOption,DiscountCurve/EUR/4/1Y,Up,1758197.52,0.000100,#N/A,1758056.94,-140.58
4:AsianBasketOption,DiscountCurve/EUR/5/2Y,Up,1758197.52,0.000100,#N/A,1758125.97,-71.55
4:AsianBasketOption,IndexCurve/EUR-ESTER/1/1M,Up,1758197.52,0.000100,#N/A,1758199.42,1.91
4:AsianBasketOption,IndexCurve/EUR-ESTER/2/3M,Up,1758197.52,0.000100,#N/A,1758277.74,80.22
4:AsianBasketOption,IndexCurve/EUR-ESTER/3/6M,Up,1758197.52,0.000100,#N/A,1757959.84,-237.68
4:AsianBasketOption,IndexCurve/EUR-ESTER/4/1Y,Up,1758197.52,0.000100,#N/A,1758303.56,106.04
4:AsianBasketOption,IndexCurve/EUR-ESTER/5/2Y,Up,1758197.52,0.000100,#N/A,1758226.21,28.70
4:AsianBasketOption,IndexCurve/USD-SOFR/0/2W,Up,1758197.52,0.000100,#N/A,1758197.51,0.00
4:AsianBasketOption,IndexCurve/USD-SOFR/1/1M,Up,1758197.52,0.000100,#N/A,1758237.95,40.44
4:AsianBasketOption,IndexCurve/USD-SOFR/2/3M,Up,1758197.52,0.000100,#N/A,1758292.62,95.11
4:AsianBasketOption,IndexCurve/USD-SOFR/3/6M,Up,1758197.52,0.000100,#N/A,1758638.22,440.70
4:AsianBasketOption,IndexCurve/USD-SOFR/4/1Y,Up,1758197.52,0.000100,#N/A,1758813.99,616.47
4:AsianBasketOption,IndexCurve/USD-SOFR/5/2Y,Up,1758197.52,0.000100,#N/A,1758220.25,22.73
