#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
1:EquityOption,false,DiscountCurve/EUR/2/3M,0.000100,,0.000000,EUR,153166.00,-3.85,#N/A
1:EquityOption,false,IndexCurve/EUR-ESTER/2/3M,0.000100,,0.000000,EUR,153166.00,61.47,#N/A
1:EquityOption,false,EquitySpot/RIC:.STOXX50E/0/spot,4.337500,,0.000000,EUR,153166.00,2386.58,#N/A
1:EquityOption,false,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,0.000162,,0.000000,EUR,153166.00,93.21,#N/A
1:EquityOption,false,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,0.000160,,0.000000,EUR,153166.00,44.16,#N/A
2:EquityBarrierOption,false,DiscountCurve/EUR/2/3M,0.000100,,0.000000,EUR,155609.76,-3.91,#N/A
2:EquityBarrierOption,false,IndexCurve/EUR-ESTER/0/2W,0.000100,,0.000000,EUR,155609.76,0.00,#N/A
2:EquityBarrierOption,false,IndexCurve/EUR-ESTER/1/1M,0.000100,,0.000000,EUR,155609.76,18.20,#N/A
2:EquityBarrierOption,false,IndexCurve/EUR-ESTER/2/3M,0.000100,,0.000000,EUR,155609.76,54.61,#N/A
2:EquityBarrierOption,false,EquitySpot/RIC:.STOXX50E/0/spot,4.337500,,0.000000,EUR,155609.76,2384.98,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/61/1M/-0.1,0.000159,,0.000000,EUR,155609.76,-0.25,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,0.000162,,0.000000,EUR,155609.76,94.85,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/72/2W/-0.05,0.000163,,0.000000,EUR,155609.76,-0.04,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/73/1M/-0.05,0.000158,,0.000000,EUR,155609.76,-3.98,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,0.000160,,0.000000,EUR,155609.76,46.12,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,0.000163,,0.000000,EUR,155609.76,1.42,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,0.000157,,0.000000,EUR,155609.76,-4.79,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,0.000157,,0.000000,EUR,155609.76,0.23,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/96/2W/0.05,0.000163,,0.000000,EUR,155609.76,-2.61,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/97/1M/0.05,0.000157,,0.000000,EUR,155609.76,1.04,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/108/2W/0.1,0.000162,,0.000000,EUR,155609.76,0.79,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/120/2W/0.25,0.000160,,0.000000,EUR,155609.76,-0.85,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/132/2W/0.5,0.000155,,0.000000,EUR,155609.76,0.23,#N/A
3:EquityAccumulator,false,DiscountCurve/EUR/4/1Y,0.000100,,0.000000,EUR,595312.28,-9.80,#N/A
3:EquityAccumulator,false,DiscountCurve/EUR/5/2Y,0.000100,,0.000000,EUR,595312.28,-27.76,#N/A
3:EquityAccumulator,false,DiscountCurve/EUR/6/3Y,0.000100,,0.000000,EUR,595312.28,-54.22,#N/A
