#fixingDate,fixingId,fixingValue
2023-08-07,EQ-RIC:.SPX,4518.4434000000
2023-08-07,EQ-RIC:.STOXX50E,4337.5000000000
2023-04-07,EUR-EONIA,0.0298700000
2023-04-10,EUR-EONIA,0.0298700000
2023-04-11,EUR-EONIA,0.0298800000
2023-04-12,EUR-EONIA,0.0298200000
2023-04-13,EUR-EONIA,0.0298300000
2023-04-14,EUR-EONIA,0.0298400000
2023-04-17,EUR-EONIA,0.0298100000
2023-04-18,EUR-EONIA,0.0298200000
2023-04-19,EUR-EONIA,0.0298600000
2023-04-20,EUR-EONIA,0.0298700000
2023-04-21,EUR-EONIA,0.0298900000
2023-04-24,EUR-EONIA,0.0298700000
2023-04-25,EUR-EONIA,0.0299000000
2023-04-26,EUR-EONIA,0.0298600000
2023-04-27,EUR-EONIA,0.0298500000
2023-04-28,EUR-EONIA,0.0298500000
2023-05-01,EUR-EONIA,0.0298500000
2023-05-02,EUR-EONIA,0.0297900000
2023-05-03,EUR-EONIA,0.0298100000
2023-05-04,EUR-EONIA,0.0298100000
2023-05-05,EUR-EONIA,0.0298200000
2023-05-08,EUR-EONIA,0.0298300000
2023-05-09,EUR-EONIA,0.0297700000
2023-05-10,EUR-EONIA,0.0297900000
2023-05-11,EUR-EONIA,0.0323000000
2023-05-12,EUR-EONIA,0.0323000000
2023-05-15,EUR-EONIA,0.0323300000
2023-05-16,EUR-EONIA,0.0323000000
2023-05-17,EUR-EONIA,0.0323200000
2023-05-18,EUR-EONIA,0.0323600000
2023-05-19,EUR-EONIA,0.0323800000
2023-05-22,EUR-EONIA,0.0323600000
2023-05-23,EUR-EONIA,0.0323500000
2023-05-24,EUR-EONIA,0.0324200000
2023-05-25,EUR-EONIA,0.0323300000
2023-05-26,EUR-EONIA,0.0323300000
2023-05-29,EUR-EONIA,0.0323700000
2023-05-30,EUR-EONIA,0.0323200000
2023-05-31,EUR-EONIA,0.0323300000
2023-06-01,EUR-EONIA,0.0322900000
2023-06-02,EUR-EONIA,0.0323200000
2023-06-05,EUR-EONIA,0.0323300000
2023-06-06,EUR-EONIA,0.0323300000
2023-06-07,EUR-EONIA,0.0323000000
2023-06-08,EUR-EONIA,0.0322900000
2023-06-09,EUR-EONIA,0.0323100000
2023-06-12,EUR-EONIA,0.0323200000
2023-06-13,EUR-EONIA,0.0323200000
2023-06-14,EUR-EONIA,0.0323200000
2023-06-15,EUR-EONIA,0.0323500000
2023-06-16,EUR-EONIA,0.0323200000
2023-06-19,EUR-EONIA,0.0322900000
2023-06-20,EUR-EONIA,0.0322900000
2023-06-21,EUR-EONIA,0.0322900000
2023-06-22,EUR-EONIA,0.0348000000
2023-06-23,EUR-EONIA,0.0348200000
2023-06-26,EUR-EONIA,0.0348500000
2023-06-27,EUR-EONIA,0.0348500000
2023-06-28,EUR-EONIA,0.0348200000
2023-06-29,EUR-EONIA,0.0348500000
2023-06-30,EUR-EONIA,0.0348500000
2023-07-03,EUR-EONIA,0.0348500000
2023-07-04,EUR-EONIA,0.0348400000
2023-07-05,EUR-EONIA,0.0348600000
2023-07-06,EUR-EONIA,0.0348900000
2023-07-07,EUR-EONIA,0.0349100000
2023-07-10,EUR-EONIA,0.0349100000
2023-07-11,EUR-EONIA,0.0348700000
