#fixingDate,fixingId,fixingValue
2023-06-03,USD-SOFR,0.053
2023-06-02,USD-SOFR,0.053
2023-06-01,USD-SOFR,0.053
2023-05-31,USD-SOFR,0.053
2023-05-30,USD-SOFR,0.0531
2023-05-26,USD-SOFR,0.0531
2023-05-25,USD-SOFR,0.053
2023-05-24,USD-SOFR,0.0531
2023-05-23,USD-SOFR,0.0506
2023-05-22,USD-SOFR,0.0506
2023-05-19,USD-SOFR,0.0505
2023-05-18,USD-SOFR,0.0505
2023-05-17,USD-SOFR,0.0506
2023-05-16,USD-SOFR,0.0505
2023-05-15,USD-SOFR,0.0506
2023-05-12,USD-SOFR,0.0506
2023-05-11,USD-SOFR,0.0505
2023-05-10,USD-SOFR,0.0506
2023-05-09,USD-SOFR,0.0505
2023-05-08,USD-SOFR,0.0506
2023-05-05,USD-SOFR,0.0506
2023-05-04,USD-SOFR,0.0506
2023-05-03,USD-SOFR,0.0506
2023-05-02,USD-SOFR,0.0506
2023-05-01,USD-SOFR,0.0506
2023-04-28,USD-SOFR,0.0509
2023-04-27,USD-SOFR,0.0506
2023-04-26,USD-SOFR,0.0506
2023-04-25,USD-SOFR,0.0505
2023-04-24,USD-SOFR,0.0505
2023-04-21,USD-SOFR,0.0505
2023-04-20,USD-SOFR,0.0505
2023-04-19,USD-SOFR,0.0505
2023-04-18,USD-SOFR,0.0505
2023-04-17,USD-SOFR,0.0505
2023-04-14,USD-SOFR,0.0506
2023-04-13,USD-SOFR,0.0505
2023-04-12,USD-SOFR,0.0505
2023-04-11,USD-SOFR,0.0505
2023-04-10,USD-SOFR,0.0505
2023-04-07,USD-SOFR,0.0505
2023-04-06,USD-SOFR,0.0505
2023-04-05,USD-SOFR,0.0505
2023-04-04,USD-SOFR,0.0506
2023-04-03,USD-SOFR,0.0507
2023-03-31,USD-SOFR,0.0508
2023-03-30,USD-SOFR,0.0508
2023-03-29,USD-SOFR,0.0506
2023-03-28,USD-SOFR,0.0506
2023-03-27,USD-SOFR,0.0506
2023-03-24,USD-SOFR,0.0505
2023-03-23,USD-SOFR,0.0505
2023-03-22,USD-SOFR,0.0505
2023-03-21,USD-SOFR,0.0505
2023-03-20,USD-SOFR,0.0505
2023-03-17,USD-SOFR,0.0505
2023-03-16,USD-SOFR,0.0505
2023-03-15,USD-SOFR,0.0506
