#NettingSet,RiskFactor,ShiftType,ShiftSize,Currency,BaseCva,Delta
CPTY_A,InterestRate/Delta/EUR/1Y,Absolute,0.000100,EUR,65078.26,15.4091
CPTY_A,InterestRate/Delta/EUR/5Y,Absolute,0.000100,EUR,65078.26,-106.2050
CPTY_A,InterestRate/Delta/USD/1Y,Absolute,0.000100,EUR,65078.26,8.2443
CPTY_A,InterestRate/Delta/USD/5Y,Absolute,0.000100,EUR,65078.26,66.9033
CPTY_A,InterestRate/Delta/EUR/1Y,Absolute,0.000100,EUR,65078.26,-129.4761
CPTY_A,InterestRate/Delta/EUR/5Y,Absolute,0.000100,EUR,65078.26,625.4529
CPTY_A,InterestRate/Delta/USD/1Y,Absolute,0.000100,EUR,65078.26,-117.3756
CPTY_A,InterestRate/Delta/USD/5Y,Absolute,0.000100,EUR,65078.26,512.7780
CPTY_A,InterestRate/Vega/EUR/0D,Relative,0.010000,EUR,65078.26,255.0057
CPTY_A,InterestRate/Vega/USD/0D,Relative,0.010000,EUR,65078.26,307.5152
CPTY_A,ForeignExchange/Delta/USDEUR/0D,Relative,0.010000,EUR,65078.26,397.3639
CPTY_A,ForeignExchange/Vega/EURUSD/0D,Relative,0.010000,EUR,65078.26,-3.0832
CPTY_A,CreditCounterparty/Delta/CPTY_A/1Y,Absolute,0.000100,EUR,65078.26,-66.2884
CPTY_A,CreditCounterparty/Delta/CPTY_A/5Y,Absolute,0.000100,EUR,65078.26,1073.3029
