#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CC_SWAP_EUR_USD,2016-02-05,0.000000,0,27726164,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2016-05-05,0.245902,0,27736844,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2016-08-05,0.497268,0,27447934,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2016-11-07,0.754098,0,27430894,0,0,0,0,0,0.00,0.00
BASE,CC_SWAP_EUR_USD,2017-02-06,1.003002,1931,26326038,0,0,0,1971,1971,489.01,489.01
BASE,CC_SWAP_EUR_USD,2017-05-05,1.244098,12828,26333664,0,0,0,13153,13153,2943.28,2943.28
BASE,CC_SWAP_EUR_USD,2017-08-07,1.501632,41666,25257814,0,0,0,42945,42945,9803.71,9803.71
BASE,CC_SWAP_EUR_USD,2017-11-06,1.750947,88511,25310136,0,0,0,91685,91685,21462.75,21462.75
BASE,CC_SWAP_EUR_USD,2018-02-05,2.000262,229040,24090922,0,0,0,238436,238436,48506.62,48506.62
BASE,CC_SWAP_EUR_USD,2018-05-07,2.249577,295954,24135258,0,0,0,309641,309641,77447.48,77447.48
BASE,CC_SWAP_EUR_USD,2018-08-06,2.498892,453459,23299854,0,0,936270,476811,476811,117292.09,117292.09
BASE,CC_SWAP_EUR_USD,2018-11-05,2.748207,635668,23448854,0,0,3367250,671757,671757,167592.69,167592.69
BASE,CC_SWAP_EUR_USD,2019-02-05,3.000262,774233,22611982,0,0,5333408,822340,822340,222598.61,222598.61
BASE,CC_SWAP_EUR_USD,2019-05-06,3.246837,904816,22699024,0,0,5935888,965805,965805,279040.08,279040.08
BASE,CC_SWAP_EUR_USD,2019-08-05,3.496152,1112547,21971122,0,0,7473743,1193496,1193496,344251.12,344251.12
BASE,CC_SWAP_EUR_USD,2019-11-05,3.748207,1349268,22198482,0,0,10784025,1454785,1454785,418930.90,418930.90
BASE,CC_SWAP_EUR_USD,2020-02-05,4.000000,1699890,21544100,0,0,13009002,1842124,1842124,508518.34,508518.34
BASE,CC_SWAP_EUR_USD,2020-05-05,4.245902,1848605,21690100,0,0,15019960,2013223,2013223,595663.40,595663.40
BASE,CC_SWAP_EUR_USD,2020-08-05,4.497268,2012033,21062516,0,0,15436067,2202320,2202320,685464.40,685464.40
BASE,CC_SWAP_EUR_USD,2020-11-05,4.748634,2125809,21205236,0,0,16636711,2338660,2338660,772975.32,772975.32
BASE,CC_SWAP_EUR_USD,2021-02-05,5.000262,2486186,20644346,0,0,18669264,2748995,2748995,872414.56,872414.56
BASE,CC_SWAP_EUR_USD,2021-05-05,5.244098,2687165,20870306,0,0,19684952,2985799,2985799,970680.90,970680.90
