#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,Swap_USD,2016-02-05,0.000000,50498,0,0,0,50498,50498,50498,50498.16,50498.16
BASE,Swap_USD,2016-05-05,0.245902,257908,189439,0,0,911104,259198,259198,259198.16,259198.16
BASE,Swap_USD,2016-08-05,0.497268,313673,253973,0,0,961548,316846,316846,288338.60,288338.60
BASE,Swap_USD,2016-11-07,0.754098,374594,340562,0,0,1325835,380339,380339,319671.99,319671.99
BASE,Swap_USD,2017-02-06,1.003002,369342,355325,0,0,1223002,376874,380339,333867.18,334726.97
BASE,Swap_USD,2017-05-05,1.244098,507327,334934,0,0,1561426,520202,520202,369977.41,370670.57
BASE,Swap_USD,2017-08-07,1.501632,558631,391834,0,0,1700553,575786,575786,405274.12,405848.40
BASE,Swap_USD,2017-11-06,1.750947,600722,431907,0,0,1834272,622269,622269,436171.79,436664.30
BASE,Swap_USD,2018-02-05,2.000262,609276,418111,0,0,2199153,634273,634273,460863.41,461294.53
BASE,Swap_USD,2018-05-07,2.249577,704008,373595,0,0,2407880,736566,736566,491418.88,491802.23
BASE,Swap_USD,2018-08-06,2.498892,679724,381915,0,0,1963142,714728,736566,513698.44,516222.40
BASE,Swap_USD,2018-11-05,2.748207,670699,387786,0,0,2156514,708776,736566,531395.75,536211.82
BASE,Swap_USD,2019-02-05,3.000262,661644,422119,0,0,2018028,702755,736566,545791.78,553043.80
BASE,Swap_USD,2019-05-06,3.246837,709225,313320,0,0,2036647,757030,757030,561833.93,568535.20
BASE,Swap_USD,2019-08-05,3.496152,744120,354767,0,0,2178081,798263,798263,578693.96,584917.36
BASE,Swap_USD,2019-11-05,3.748207,729734,439696,0,0,2098990,786801,798263,592688.52,599264.15
BASE,Swap_USD,2020-02-05,4.000000,769166,498096,0,0,2289503,833524,833524,607848.70,614010.40
BASE,Swap_USD,2020-05-05,4.245902,808705,391264,0,0,2160267,880720,880720,623652.04,629456.89
BASE,Swap_USD,2020-08-05,4.497268,798297,469397,0,0,2228536,873796,880720,637633.35,643500.74
BASE,Swap_USD,2020-11-05,4.748634,766919,488905,0,0,2206654,843709,880720,648541.82,656057.79
BASE,Swap_USD,2021-02-05,5.000262,735997,510388,0,0,2311080,813798,880720,656857.99,667363.46
BASE,Swap_USD,2021-05-05,5.244098,806277,475529,0,0,2343935,895881,895881,667971.88,677988.87
BASE,Swap_USD,2021-08-05,5.496152,810915,552546,0,0,2587415,905605,905605,678869.81,688427.42
BASE,Swap_USD,2021-11-05,5.748207,796224,588622,0,0,2375132,893710,905605,688290.40,697950.52
BASE,Swap_USD,2022-02-07,6.005741,752954,602208,0,0,2447767,849523,905605,695204.26,706855.04
BASE,Swap_USD,2022-05-05,6.244098,799353,554746,0,0,2301544,906198,906198,703258.54,714464.58
BASE,Swap_USD,2022-08-05,6.496152,776081,601075,0,0,2343096,884279,906198,710282.23,721903.97
BASE,Swap_USD,2022-11-07,6.753687,767669,641925,0,0,1992242,879227,906198,716724.52,728931.55
BASE,Swap_USD,2023-02-06,7.003002,739142,583007,0,0,1830624,850803,906198,721497.86,735242.46
BASE,Swap_USD,2023-05-05,7.244098,797441,570367,0,0,2108517,922362,922362,728182.96,741470.12
BASE,Swap_USD,2023-08-07,7.501632,764286,572519,0,0,1907111,888596,922362,733690.00,747680.21
BASE,Swap_USD,2023-11-06,7.750947,760765,582869,0,0,2086567,888940,922362,738683.73,753298.99
BASE,Swap_USD,2024-02-05,8.000000,750759,605868,0,0,1866976,881649,922362,743134.49,758562.20
BASE,Swap_USD,2024-05-06,8.248634,798482,531663,0,0,2289430,942398,942398,749140.77,764103.45
BASE,Swap_USD,2024-08-05,8.497268,747704,487618,0,0,1992253,886896,942398,753171.54,769320.41
BASE,Swap_USD,2024-11-05,8.748634,705648,427907,0,0,2101748,841257,942398,755702.41,774293.28
