#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,1201477.63,0.00,1201477.63,1201477.63,1201477.63,1201477.63,1201477.63,1201477.63
CPTY_A,2016-02-19,0.038251,2442.44,4605.14,0.00,1196850.34,2442.32,1201477.63,2442.32,1201477.63
CPTY_A,2016-03-04,0.076503,3428.69,5414.14,0.00,1200863.28,3428.26,1201477.63,2935.29,1201477.63
CPTY_A,2016-03-18,0.114754,2706.62,3510.05,0.00,1449224.44,2706.03,1201477.63,2858.87,1201477.63
CPTY_A,2016-04-01,0.153005,1287.01,8252.88,0.00,1450153.46,1286.61,1201477.63,2465.81,1201477.63
CPTY_A,2016-04-15,0.191257,8565.78,3011.55,0.00,1443797.36,8562.33,1201477.63,3685.11,1201477.63
CPTY_A,2016-04-29,0.229508,3378.00,4570.34,0.00,1280711.35,3376.25,1201477.63,3633.64,1201477.63
CPTY_A,2016-05-13,0.267760,4580.94,2439.54,0.00,1284253.14,4578.06,1201477.63,3768.55,1201477.63
CPTY_A,2016-05-27,0.306011,2649.60,6170.18,0.00,1292728.40,2647.64,1201477.63,3628.44,1201477.63
CPTY_A,2016-06-10,0.344262,5601.38,3956.22,0.00,1297802.82,5596.65,1201477.63,3847.13,1201477.62
CPTY_A,2016-06-24,0.382514,5173.47,7340.09,0.00,1300168.01,5168.37,1201477.63,3979.25,1201477.62
CPTY_A,2016-07-08,0.420765,3719.69,3756.85,0.00,1299362.68,3715.50,1201477.63,3955.28,1201477.62
CPTY_A,2016-07-22,0.459016,6564.42,3102.21,0.00,1162282.34,6556.41,1201477.63,4172.04,1201477.63
CPTY_A,2016-08-05,0.497268,547.41,6674.57,0.00,1159573.90,546.70,1201477.63,3893.16,1201477.63
CPTY_A,2016-08-19,0.535519,5687.18,3334.38,0.00,1162830.97,5679.07,1201477.63,4020.73,1201477.63
CPTY_A,2016-09-02,0.573770,6964.55,4749.56,0.00,1179326.24,6953.49,1201477.63,4216.25,1201477.63
CPTY_A,2016-09-16,0.612022,3268.17,3667.85,0.00,1107396.50,3262.50,1201477.63,4156.64,1201477.63
CPTY_A,2016-09-30,0.650273,4555.95,7046.96,0.00,1105097.32,4547.52,1201477.63,4179.63,1201477.63
CPTY_A,2016-10-14,0.688525,3887.74,5267.40,0.00,1099439.32,3880.02,1201477.63,4162.99,1201477.63
CPTY_A,2016-10-28,0.726776,11107.74,11112.93,0.00,971192.82,11083.56,1201477.63,4527.23,1201477.63
CPTY_A,2016-11-14,0.773224,2182.33,1036.29,0.00,971985.38,2177.10,1201477.63,4386.05,1201477.63
CPTY_A,2016-11-25,0.803279,1948.62,9603.63,0.00,984740.33,1943.74,1201477.63,4294.67,1201477.63
CPTY_A,2016-12-09,0.841530,7124.06,5487.99,0.00,955426.98,7105.24,1201477.63,4422.43,1201477.63
CPTY_A,2016-12-23,0.879781,4014.17,7869.38,0.00,966807.65,4003.03,1201477.63,4404.19,1201477.63
CPTY_A,2017-01-06,0.918070,4756.97,4551.54,0.00,963726.54,4743.14,1201477.63,4418.33,1201477.63
CPTY_A,2017-01-20,0.956426,1956.75,5204.29,0.00,965768.97,1950.82,1201477.63,4319.37,1201477.63
CPTY_A,2017-02-03,0.994783,5892.16,3969.18,0.00,843159.71,5873.61,1201477.63,4379.30,1201477.63
CPTY_A,2017-02-17,1.033139,6889.96,3865.67,0.00,835312.36,6867.32,1201477.63,4471.67,1201477.63
CPTY_A,2017-03-03,1.071495,4568.44,5816.79,0.00,839789.96,4552.71,1201477.63,4474.57,1201477.63
CPTY_A,2017-03-17,1.109851,6506.98,4407.76,0.00,1034111.62,6483.54,1201477.63,4544.00,1201477.63
CPTY_A,2017-03-31,1.148207,8738.52,10660.12,0.00,1035171.48,8705.66,1201477.63,4683.02,1201477.62
CPTY_A,2017-04-18,1.197522,2340.22,1153.87,0.00,1024173.08,2330.94,1201477.63,4586.16,1201477.62
CPTY_A,2017-04-28,1.224920,2079.37,5803.04,0.00,904125.79,2070.90,1201477.63,4529.90,1201477.62
CPTY_A,2017-05-12,1.263276,3401.93,3874.94,0.00,910074.79,3387.54,1201477.63,4495.22,1201477.62
CPTY_A,2017-05-26,1.301632,5195.98,5932.41,0.00,926835.43,5173.33,1201477.63,4515.20,1201477.62
CPTY_A,2017-06-09,1.339988,8179.28,5292.30,0.00,905161.70,8142.55,1201477.63,4619.03,1201477.62
CPTY_A,2017-06-23,1.378344,2258.90,6021.79,0.00,911218.56,2248.46,1201477.63,4553.06,1201477.62
CPTY_A,2017-07-07,1.416700,3713.13,4247.89,0.00,898803.93,3695.48,1201477.63,4529.84,1201477.62
CPTY_A,2017-07-21,1.455057,4493.85,2129.57,0.00,909657.48,4471.90,1201477.63,4528.32,1201477.62
CPTY_A,2017-08-04,1.493413,3991.45,7026.11,0.00,795966.89,3971.43,1201477.63,4514.01,1201477.62
CPTY_A,2017-08-18,1.531769,4884.73,4977.43,0.00,789874.34,4859.58,1201477.63,4522.67,1201477.62
CPTY_A,2017-09-01,1.570125,2924.19,4254.98,0.00,778524.45,2908.73,1201477.63,4483.24,1201477.62
CPTY_A,2017-09-15,1.608481,3065.03,4169.60,0.00,700820.41,3048.41,1201477.63,4449.03,1201477.62
CPTY_A,2017-09-29,1.646837,5609.70,5737.80,0.00,703175.65,5578.51,1201477.63,4475.33,1201477.62
CPTY_A,2017-10-13,1.685194,3535.96,5847.22,0.00,712038.74,3515.82,1201477.63,4453.49,1201477.62
CPTY_A,2017-10-27,1.723550,10927.14,8359.29,0.00,606920.45,10863.40,1201477.63,4596.14,1201477.62
CPTY_A,2017-11-13,1.770125,682.66,3301.80,0.00,649136.63,678.56,1201477.63,4493.06,1201477.62
CPTY_A,2017-11-24,1.800262,7491.31,4897.41,0.00,630784.52,7445.36,1201477.63,4542.48,1201477.62
CPTY_A,2017-12-08,1.838618,2715.51,3531.67,0.00,608877.42,2698.41,1201477.63,4504.01,1201477.62
CPTY_A,2017-12-22,1.876974,7669.55,4103.28,0.00,601524.71,7620.00,1201477.63,4567.69,1201477.62
CPTY_A,2018-01-05,1.915330,3085.29,6278.85,0.00,595129.94,3064.84,1201477.63,4537.59,1201477.62
CPTY_A,2018-01-19,1.953687,3900.42,5825.29,0.00,593966.88,3873.94,1201477.63,4524.56,1201477.62
CPTY_A,2018-02-02,1.992043,4524.84,4716.67,0.00,490623.77,4493.38,1201477.63,4523.96,1201477.62
CPTY_A,2018-02-16,2.030399,5197.16,4014.18,0.00,492633.90,5160.28,1201477.63,4535.98,1201477.62
CPTY_A,2018-03-02,2.068755,4428.03,5113.73,0.00,494559.40,4396.21,1201477.63,4533.39,1201477.62
CPTY_A,2018-03-16,2.107111,7134.11,8063.54,0.00,725644.53,7082.19,1201477.63,4579.79,1201477.62
CPTY_A,2018-04-03,2.156426,788.29,3657.37,0.00,732481.54,782.47,1201477.63,4492.95,1201477.62
CPTY_A,2018-04-13,2.183824,1491.16,2148.06,0.00,726621.18,1480.04,1201477.63,4455.15,1201477.62
CPTY_A,2018-04-27,2.222180,4172.45,6881.21,0.00,632766.50,4140.95,1201477.63,4449.73,1201477.62
CPTY_A,2018-05-11,2.260536,4761.57,1538.85,0.00,632328.93,4725.20,1201477.63,4454.40,1201477.62
CPTY_A,2018-05-25,2.298892,5897.06,3265.18,0.00,633615.18,5851.47,1201477.63,4477.71,1201477.62
CPTY_A,2018-06-08,2.337248,4847.98,4150.29,0.00,629180.79,4810.06,1201477.63,4483.16,1201477.62
CPTY_A,2018-06-22,2.375604,2117.41,7885.11,0.00,632400.13,2100.66,1201477.63,4444.70,1201477.62
CPTY_A,2018-07-06,2.413961,3632.12,2807.97,0.00,628713.01,3603.05,1201477.63,4431.32,1201477.62
CPTY_A,2018-07-20,2.452317,3783.65,3414.24,0.00,617974.73,3753.03,1201477.63,4420.71,1201477.63
CPTY_A,2018-08-03,2.490673,6810.72,2470.09,0.00,525103.18,6754.99,1201477.63,4456.66,1201477.63
CPTY_A,2018-08-17,2.529029,5473.58,3409.13,0.00,547397.78,5428.29,1201477.63,4471.40,1201477.63
CPTY_A,2018-08-31,2.567385,5121.28,7878.94,0.00,544986.39,5078.44,1201477.63,4480.47,1201477.63
CPTY_A,2018-09-14,2.605741,6733.00,7161.97,0.00,436942.12,6676.07,1201477.63,4512.79,1201477.63
CPTY_A,2018-09-28,2.644098,3251.96,5020.38,0.00,439661.37,3224.17,1201477.63,4494.09,1201477.63
CPTY_A,2018-10-12,2.682454,4933.95,4410.45,0.00,443441.02,4891.34,1201477.63,4499.77,1201477.63
CPTY_A,2018-10-26,2.720810,1593.78,8632.27,0.00,360542.46,1579.88,1201477.63,4458.61,1201477.63
CPTY_A,2018-11-09,2.759166,4510.34,7514.12,0.00,363493.46,4470.57,1201477.63,4458.78,1201477.63
CPTY_A,2018-11-23,2.797522,3666.83,5446.81,0.00,362812.66,3634.16,1201477.63,4447.47,1201477.63
CPTY_A,2018-12-07,2.835878,4796.44,2704.00,0.00,361927.06,4753.28,1201477.63,4451.61,1201477.63
CPTY_A,2018-12-21,2.874235,2631.40,4025.29,0.00,363600.15,2607.49,1201477.63,4427.00,1201477.63
CPTY_A,2019-01-04,2.912591,7285.14,7789.24,0.00,366679.34,7218.27,1201477.63,4463.76,1201477.63
CPTY_A,2019-01-18,2.950947,4205.44,7081.61,0.00,399821.39,4166.46,1201477.63,4459.89,1201477.63
CPTY_A,2019-02-01,2.989303,4440.34,3839.19,0.00,308532.95,4398.77,1201477.63,4459.11,1201477.63
CPTY_A,2019-02-15,3.027659,3561.21,4935.26,0.00,305657.68,3527.60,1201477.63,4447.31,1201477.63
CPTY_A,2019-03-01,3.066015,3456.07,3259.92,0.00,291953.47,3423.37,1201477.63,4434.50,1201477.63
CPTY_A,2019-03-15,3.104372,5715.38,4298.11,0.00,489762.52,5661.17,1201477.63,4449.65,1201477.63
CPTY_A,2019-03-29,3.142728,3858.34,6144.79,0.00,504316.00,3821.64,1201477.63,4441.99,1201477.63
CPTY_A,2019-04-12,3.181084,4679.87,6522.67,0.00,514817.40,4635.25,1201477.63,4444.32,1201477.63
CPTY_A,2019-04-26,3.219440,5886.74,5149.28,0.00,438404.77,5830.47,1201477.63,4460.83,1201477.63
CPTY_A,2019-05-10,3.257796,4153.69,8123.36,0.00,430544.42,4113.88,1201477.63,4456.75,1201477.63
CPTY_A,2019-05-24,3.296152,3599.48,5667.69,0.00,430349.57,3564.90,1201477.63,4446.37,1201477.63
CPTY_A,2019-06-07,3.334509,7989.37,7670.02,0.00,442120.37,7912.41,1201477.63,4486.24,1201477.63
CPTY_A,2019-06-21,3.372865,4410.31,6676.19,0.00,444853.69,4367.72,1201477.63,4484.89,1201477.63
CPTY_A,2019-07-05,3.411221,8329.95,4949.56,0.00,448197.01,8249.31,1201477.63,4527.22,1201477.63
CPTY_A,2019-07-19,3.449577,4141.94,6954.78,0.00,454780.11,4101.74,1201477.63,4522.49,1201477.63
CPTY_A,2019-08-02,3.487933,2047.33,6981.56,0.00,398216.63,2027.40,1201477.63,4495.05,1201477.63
CPTY_A,2019-08-16,3.526289,4750.81,3262.65,0.00,393353.45,4704.47,1201477.63,4497.33,1201477.63
CPTY_A,2019-08-30,3.564646,3911.84,6598.01,0.00,396696.41,3873.58,1201477.63,4490.62,1201477.63
CPTY_A,2019-09-13,3.603002,4491.07,2760.03,0.00,255814.10,4447.04,1201477.63,4490.15,1201477.63
CPTY_A,2019-09-27,3.641358,3768.18,3279.02,0.00,254664.25,3731.15,1201477.63,4482.16,1201477.63
CPTY_A,2019-10-11,3.679714,3369.46,3624.34,0.00,258338.40,3336.27,1201477.63,4470.21,1201477.63
CPTY_A,2019-10-25,3.718070,4369.75,4339.47,0.00,202001.08,4326.60,1201477.63,4468.73,1201477.63
CPTY_A,2019-11-08,3.756426,4708.68,4111.01,0.00,203688.65,4662.06,1201477.63,4470.71,1201477.63
CPTY_A,2019-11-22,3.794783,2715.07,3406.51,0.00,211706.10,2688.12,1201477.63,4452.69,1201477.63
CPTY_A,2019-12-06,3.833139,5771.67,6386.57,0.00,232335.44,5714.24,1201477.63,4465.31,1201477.63
CPTY_A,2019-12-20,3.871495,3620.84,5867.77,0.00,235458.18,3584.72,1201477.63,4456.59,1201477.63
CPTY_A,2020-01-03,3.909836,4474.81,4973.60,0.00,253185.05,4430.07,1201477.63,4456.33,1201477.63
CPTY_A,2020-01-17,3.948087,3998.66,4154.45,0.00,256262.49,3958.58,1201477.63,4451.51,1201477.63
CPTY_A,2020-01-31,3.986339,4936.41,8419.65,0.00,173045.21,4886.81,1201477.63,4455.68,1201477.63
CPTY_A,2020-02-14,4.024590,5776.44,9736.39,0.00,176562.11,5718.34,1201477.63,4467.68,1201477.63
CPTY_A,2020-02-28,4.062842,3293.52,5373.31,0.00,165333.21,3260.55,1201477.63,4456.32,1201477.63
CPTY_A,2020-03-13,4.101093,5869.30,3904.24,0.00,328691.05,5810.82,1201477.63,4468.95,1201477.63
CPTY_A,2020-03-27,4.139344,7908.60,12333.72,0.00,326098.90,7830.16,1201477.63,4500.01,1201477.63
CPTY_A,2020-04-14,4.188525,9419.79,5849.40,0.00,330851.02,9326.93,1201477.63,4556.69,1201477.63
CPTY_A,2020-04-24,4.215847,7744.12,8637.45,0.00,288555.76,7668.04,1201477.63,4576.85,1201477.63
CPTY_A,2020-05-11,4.262295,1668.42,2126.53,0.00,322577.48,1652.12,1201477.63,4544.98,1201477.63
CPTY_A,2020-05-22,4.292350,3950.58,7595.90,0.00,303417.18,3912.13,1201477.63,4540.55,1201477.63
CPTY_A,2020-06-05,4.330601,2570.37,7052.80,0.00,332513.51,2545.48,1201477.63,4522.93,1201477.63
CPTY_A,2020-06-19,4.368852,7949.12,7107.28,0.00,324414.70,7872.50,1201477.63,4552.25,1201477.63
CPTY_A,2020-07-06,4.415301,1180.51,830.60,0.00,309466.38,1169.20,1201477.63,4516.67,1201477.63
CPTY_A,2020-07-17,4.445355,3859.61,7453.26,0.00,310865.12,3822.77,1201477.63,4511.97,1201477.63
CPTY_A,2020-07-31,4.483607,649.55,6847.33,0.00,277723.73,643.38,1201477.63,4478.97,1201477.63
CPTY_A,2020-08-14,4.521858,757.70,6557.96,0.00,281076.28,750.53,1201477.63,4447.43,1201477.63
CPTY_A,2020-08-28,4.560109,5882.96,2725.07,0.00,280411.16,5827.62,1201477.63,4459.01,1201477.63
CPTY_A,2020-09-11,4.598361,2578.40,1866.18,0.00,130333.53,2554.27,1201477.63,4443.16,1201477.63
CPTY_A,2020-09-25,4.636612,2187.75,5232.55,0.00,134150.13,2167.37,1201477.63,4424.39,1201477.63
CPTY_A,2020-10-09,4.674863,7219.84,6262.10,0.00,129415.29,7152.94,1201477.63,4446.71,1201477.63
CPTY_A,2020-10-23,4.713115,2486.59,3674.75,0.00,97983.66,2463.66,1201477.63,4430.62,1201477.63
CPTY_A,2020-11-06,4.751366,2321.67,7069.66,0.00,106672.38,2300.37,1201477.63,4413.47,1201477.63
CPTY_A,2020-11-20,4.789617,3967.52,4721.87,0.00,102247.57,3931.30,1201477.63,4409.62,1201477.63
CPTY_A,2020-12-04,4.827869,3034.32,4391.16,0.00,108922.38,3006.77,1201477.63,4398.50,1201477.63
CPTY_A,2020-12-18,4.866120,7298.80,11674.23,0.00,135843.94,7232.86,1201477.63,4420.78,1201477.63
CPTY_A,2021-01-04,4.912591,1507.42,4069.77,0.00,131899.40,1493.89,1201477.63,4393.10,1201477.63
CPTY_A,2021-01-15,4.942728,3579.32,2800.19,0.00,122172.63,3547.32,1201477.63,4387.94,1201477.63
CPTY_A,2021-01-29,4.981084,2019.56,6075.60,0.00,88624.47,2001.59,1201477.63,4369.56,1201477.63
